genome_id	genome_name
267747.3	Propionibacterium acnes KPA171202
471821.5	uncultured Termite group 1 bacterium phylotype Rs-D17
300852.9	Thermus thermophilus HB8
1284686.3	Anaerococcus lactolyticus S7-1-13
1410576.3	uncultured Acidilobus sp. JCHS
2200854.3	Opitutae bacterium TARA_B100001123
1696036.3	Candidatus Finniella inopinata strain HOLO01
189518.3	Leptospira interrogans serovar Lai str. 56601
2735565.11	Candidatus Peribacter sp. strain SI072_bin1
1812115.7	Wolbachia endosymbiont of Dirofilaria (Dirofilaria) immitis strain FR3
2802285.4	Candidatus Hepatincola sp. Av
2675790.3	Enterobacteriaceae endosymbiont of Macroplea appendiculata strain MappSym
2601677.3	Chloroflexi bacterium 3753O
2839016.10	Gemmatimonadetes bacterium T265
1903058.8	Candidatus Xiphinematobacter sp. strain P23
1499681.3	Collinsella sp. MS5
907.4	Megasphaera elsdenii DSM 20460
36849.5	Oxobacter pfennigii strain DSM 3222
52694.7	Acetobacterium wieringae strain JM
1217799.31	Dehalogenimonas alkenigignens strain IP3-3
1671482.3	Acidithrix sp. C25 strain 1
565034.3	Brachyspira hyodysenteriae WA1
2719988.3	Spirochaetales bacterium BR193
2024824.23	Balneola sp. strain HXMU1420-1
699246.3	Clostridiales genomosp. BVAB3 str. UPII9-5
1985113.115	uncultured Candidatus Actinomarina sp. strain AG-911-M23
266117.10	Rubrobacter xylanophilus DSM 9941
244328.197	uncultured Clostridia bacterium min17_bin01
2902423.3	Candidatus Nanosynbacter sp. HMT352 strain KC1
312540.4	Acidiplasma cupricumulans strain BH2
877466.33	Thermoflexus hugenholtzii JAD2 TH-11nov19-82
490899.14	Desulfurococcus kamchatkensis 1221n
59374.5	Fibrobacter succinogenes subsp. succinogenes S85
2358428.3	'Fragaria x ananassa' phyllody phytoplasma strain StrPh-Cl
331636.3	Chlamydophila psittaci 6BC
2886196.3	Lentisphaerae bacterium WC36
521045.3	Kosmotoga olearia TBF 19.5.1
1308979.4	Petrotoga sp. 9PW.55.5.1
174633.135	Candidatus Kuenenia stuttgartiensis GH-07nov19-223
2849650.10	Salsipaludibacter albus AS10
1564114.4	Rhodococcus sp. B7740
999630.6	Thermoproteus uzoniensis 768-20
317013.84	Xanthomonas phaseoli pv. phaseoli ATCC 49119
279238.18	Novosphingobium aromaticivorans DSM 12444
203907.6	Candidatus Blochmannia floridanus
1324935.3	Limisphaera ngatamarikiensis strain NGM72.4
1233402.4	uncultured Methanomassiliicoccus sp. strain ERR321597-bin.7
1273541.5	Pyrodictium delaneyi strain Hulk
1719125.3	Candidatus Riesia sp. GBBU strain GBBU
2026724.900	Chloroflexi bacterium strain L227-S17
2802963.3	Candidatus Aquidulcis sp. strain FI88_2_58_12
174633.139	Candidatus Kuenenia stuttgartiensis LH-05nov19-139
390333.7	Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842
2840882.4	Candidatus Onthoplasma faecipullorum BRZ_HV__bin6
2602574.15	Candidatus Aquarickettsia rohweri strain Acer BE 8867
2030800.124	Elusimicrobia bacterium strain Lyne_18-Q3-R50-59_MAXAC.215
1062.102	Rhodobacter sp. strain HK-STAS-PROT-59
224911.5	Bradyrhizobium japonicum USDA 110
495820.6	Spirobacillus cienkowskii strain binning01
228908.8	Nanoarchaeum equitans Kin4-M
192952.21	Methanosarcina mazei Go1
1306947.3	candidate division TM6 bacterium JCVI TM6SC1
1278311.3	Acholeplasma axanthum ATCC 25176
391009.9	Thermosipho melanesiensis BI429
1653831.5	Blattabacterium cuenoti strain SHELFORDIsp
1315998.3	Buchnera aphidicola (Thelaxes californica) strain Tca
206672.9	Bifidobacterium longum NCC2705
1577686.5	Silvibacterium bohemicum strain DSM 103733
2569760.3	Terrabacteria group bacterium ANGP1 strain NP_1
2883565.11	Candidatus Elulimicrobium sp. strain SulCav_AS07-7_35_57
1878935.3	Buchnera aphidicola (Cinara confinis)
1236689.6	Candidatus Methanomethylophilus alvus Mx1201
1986204.3	Anaerolineaceae bacterium CAMBI-1 strain CAMBI-1
53444.22	Lactobacillus lindneri strain TMW 1.1993
2030827.3	Candidatus Dependentiae bacterium strain NORP98
1514105.3	Erysipelothrix sp. LV19
113566.3	Actinoplanes humidus strain NBRC 14915
309798.4	Coprothermobacter proteolyticus DSM 5265
2268201.25	Synergistales bacterium strain UFZ-4H10
254945.26	Ehrlichia ruminantium str. Welgevonden (Prj:9614)
1183379.4	Campylobacter coli RM4661
190304.8	Fusobacterium nucleatum subsp. nucleatum ATCC 25586
334413.6	Finegoldia magna ATCC 29328
411461.4	Dorea formicigenerans ATCC 27755
1229909.8	Candidatus Nitrosopumilus sp. AR2
1448132.3	Mycoplasma molare ATCC 27746
1202785.3	Methylacidiphilum kamchatkense Kam1
2821536.3	Chloracidobacterium sp. D
