sequence_id	sequence_length
511145.12	327
1183379.4	330
224911.5	360
206672.9	351
262316.17	342
295405.11	339
311403.8	349
264199.4	347
267747.3	369
390333.7	349
317013.84	320
1500286.3	372
321967.11	348
189518.3	341
220668.9	348
272563.8	339
208964.12	338
1218074.4	337
455632.4	379
93061.5	352
85962.8	328
66084.3	347
272624.6	338
1499681.3	358
1443941.6	326
441771.6	339
203120.7	349
242231.10	351
657313.3	339
177416.18	337
169963.11	350
349741.6	341
698968.3	368
331636.3	341
445974.6	345
1852017.4	357
309807.25	336
411461.4	345
367737.6	330
1298860.3	346
479437.5	370
443906.13	345
167546.4	335
349520.5	343
203123.7	347
1151118.3	353
411483.3	340
648999.4	360
2231648.3	327
376686.10	339
398578.5	350
749219.3	343
690566.3	363
190304.8	338
1105114.3	349
272634.6	341
411475.3	341
317936.3	330
290633.11	356
192952.21	492
1238.86	331
426355.14	360
227377.7	328
1033731.3	341
1194088.4	511
565034.3	339
272632.4	350
1376.123	349
360911.3	340
552396.3	347
289397.4	321
1663685.3	346
1291737.4	349
2588535.4	327
1042377.3	297
1969167.3	348
192.50	355
300852.9	350
907.4	341
216389.10	346
2070337.3	346
1736408.3	365
479436.6	340
2483795.5	347
334413.6	340
46159.3	369
1051662.3	356
1208321.3	331
680646.3	375
131112.72	360
1628191.3	358
2738.13	348
521460.8	340
944560.4	361
1259198.3	360
742816.3	341
665956.3	339
1156913.3	354
471854.5	346
243230.17	339
710393.3	330
1946432.3	339
393595.15	339
380394.4	340
59374.5	357
145458.9	346
2292005.3	339
519441.6	338
214.52	332
1274.3	365
420247.28	514
34021.238	366
937774.3	340
2902423.3	347
2847991.4	338
262723.5	313
2049039.65	341
1379910.4	341
212042.8	348
1638221.3	500
37923.8	376
1261130.3	337
1203568.3	365
243274.5	325
203267.6	336
585199.3	359
267377.15	500
254945.26	328
565575.4	333
1293054.3	341
2764326.3	338
1566284.3	344
234826.6	351
264732.11	340
2602574.15	347
1217720.3	361
1463821.3	355
1727.3	369
638301.3	351
1081631.12	333
159087.6	348
1280948.3	358
2760807.28	345
357244.4	344
650150.7	343
1341157.4	342
2742965.10	334
84135.157	340
138072.46	327
655811.4	340
414750.3	333
2864219.3	345
1962908.24	344
1633631.8	336
403833.7	344
340099.6	339
537972.5	307
441768.5	337
1530195.3	348
1517416.3	326
697284.3	342
75379.4	347
1120960.3	346
1075399.3	331
883.4	345
33033.4	340
289377.5	337
169435.7	339
363253.5	345
368407.15	481
2750945.3	355
570509.6	345
504728.6	356
323848.4	344
1229909.8	462
1122605.3	348
1202785.3	350
1267534.3	369
1423811.3	348
243090.15	347
2763032.3	340
1458469.3	351
265311.5	350
1168169.3	339
768710.3	348
583355.3	346
1123401.3	339
521098.5	348
1043493.3	361
1335757.3	339
264462.9	341
2948573.3	340
1987381.4	346
108080.4	330
1776384.4	340
224325.10	474
1852373.16	346
2795215.3	369
1197129.14	338
626937.26	338
1267005.3	357
169962.4	338
2864136.3	312
1122175.4	362
378806.8	349
412965.8	341
375175.92	349
1736511.3	347
1985113.19	330
349163.14	357
2485926.5	359
1041809.3	350
2821536.3	366
335992.9	355
298653.7	370
2883571.16	334
107806.10	329
64091.14	502
2732163.3	335
518766.7	341
86177.10	332
1121920.7	356
2852100.3	343
203119.11	339
1301915.4	480
247481.63	343
2782161.3	336
1214914.3	350
1637999.4	347
1898207.3492	341
1405291.3	343
2527970.3	342
155866.6	346
562970.4	345
394221.8	360
1205680.3	366
1056817.3	329
391009.9	324
335541.7	340
932217.10	340
1903058.8	335
1735162.9	339
1295009.4	501
2499629.3	343
2715251.19	343
1339239.3	338
52694.7	340
2849650.10	347
2855394.3	339
2873263.10	337
2928472.3	366
688246.3	345
592028.3	404
367791.6	339
2831673.3	344
344747.3	327
2919927.4	348
416213.14	340
1188247.3	360
1125411.11	336
767452.9	374
1227546.3	344
142586.2329	345
1321814.3	340
986075.3	344
98793.5	329
1379858.3	339
1643335.5	327
2565273.3	358
2044944.49	343
2594476.3	340
2678502.3	355
1936025.3	356
194439.7	341
1962911.3	339
2268201.25	347
2302661.3	339
2203219.4	342
2026742.403	342
2024824.23	335
243273.25	341
2819258.8	344
339860.19	517
321332.11	333
445971.6	339
410358.15	474
411474.92	339
2807629.10	338
2864218.10	327
1123355.3	358
938288.5	340
765952.4	342
1123509.3	332
1177218.3	327
653733.4	377
927668.3	334
1236689.6	505
1163408.3	331
613026.4	337
148604.19	348
1898203.3468	340
1303518.3	364
1345117.3	328
1702221.14	343
1872096.100	345
1837344.3	373
1534747.3	340
1304880.3	394
156994.4	341
1264899.3	358
2045207.3	344
2073117.236	344
2030824.25	349
1987921.3	327
1931216.3	339
2341113.3	340
2735565.11	329
2720720.3	340
251221.4	338
246195.4	346
2614248.12	358
2044594.17	334
2026745.21	353
2884263.3	347
2886196.3	341
312540.4	487
382464.3	346
2883565.11	344
401619.11	243
2922716.3	349
2847780.3	328
717961.3	340
885272.3	346
478801.5	372
83771.33	327
879308.3	340
592015.5	347
877466.5	344
991789.25	339
883111.3	357
669502.32	338
796939.3	339
515635.4	339
1325130.3	329
1081644.3	344
1325564.10	338
1208918.3	340
1262794.3	344
1214225.3	364
1123518.3	332
1499107.3	338
1712261.7	364
1536648.8	346
1382306.3	348
1400864.3	331
1413210.17	339
1463632.3	351
163359.11	344
1453500.3	339
2124.7	314
2024848.4	367
1765683.10	348
1903277.3	488
190192.8	524
2026779.219	333
246194.6	338
2663809.3	356
2507160.3	340
2726201.3	352
2593304.3	353
2301224.3	334
2715251.13	359
240016.6	338
2715251.14	335
2365003.3	505
266117.10	343
2806609.3	368
290397.18	369
309798.4	339
2802963.3	345
2857064.3	363
289376.4	334
2878852.3	348
490899.14	514
439235.4	334
637387.12	320
360411.10	347
521674.6	334
670487.3	338
620903.10	340
637679.5	359
651182.5	335
53443.32	341
381764.8	328
98785.40	329
694431.3	340
699246.3	343
999630.6	492
697581.3	530
755178.3	331
84022.6	339
957042.4	339
1051632.5	348
716544.4	342
708126.12	349
862908.3	354
713887.8	334
933949.25	351
113570.3	353
114.15	346
1121877.3	356
1189303.13	326
1158345.3	344
1118964.8	318
1161401.3	360
1123256.3	333
1196417.3	344
1235990.3	327
1256050.5	338
1273541.5	497
1266370.3	350
1293586.8	523
1193620.3	343
1262751.3	344
1278311.3	338
1262133.3	339
1219084.8	334
1318466.3	339
1304158.3	333
1476195.3	353
1408416.3	337
1380390.4	349
1410576.3	485
1510150.4	337
1455061.4	358
1501.7	339
1448132.3	315
1682490.3	327
1716143.16	350
171282.4	317
1586337.3	354
1653831.32	346
1658671.4	364
1594731.4	328
1670830.3	347
1720083.4	348
1872664.5	374
174633.173	331
1885344.4	350
1765737.5	339
1898207.3493	340
1810504.3	339
1940790.5	331
2026885.4	333
1986204.3	347
1969565.3	339
1946319.3	380
2014296.3	337
224999.3	338
2202731.8	337
2527989.3	349
2382161.3	342
2094562.3	350
2133960.4	363
2268189.4	338
2294035.3	333
2293433.3	335
2083498.3	338
2163959.4	358
2558277.3	358
254246.4	337
2687299.4	343
2675790.3	322
2608089.5	334
2608715.3	360
2607614.9	344
262719.5	226
2681470.3	342
2686014.3	325
2587115.3	358
2732067.3	336
2699756.5	336
2744556.10	338
2709429.4	328
2789326.3	341
